Sourah Arabic,Sourah Number,Verse Number,Verse Diac,Verse,Label
سورة المؤمنون,23,86,قُلۡ مَن رَّبُّ ٱلسَّمَٰوَٰتِ ٱلسَّبۡعِ وَرَبُّ ٱلۡعَرۡشِ ٱلۡعَظِيمِ,قل من رب السمٰوٰت السبع ورب العرش العظيم,joy
سورة الحج,22,59,لَيُدۡخِلَنَّهُم مُّدۡخَلٗا يَرۡضَوۡنَهُۥۚ وَإِنَّ ٱللَّهَ لَعَلِيمٌ حَلِيمٞ,ليدخلنهم مدخلا يرضونه وان الله لعليم حليم,joy
سورة الفتح,48,9,لِّتُؤۡمِنُواْ بِٱللَّهِ وَرَسُولِهِۦ وَتُعَزِّرُوهُ وَتُوَقِّرُوهُۚ وَتُسَبِّحُوهُ بُكۡرَةٗ وَأَصِيلًا,لتؤمنوا بالله ورسوله وتعزروه وتوقروه وتسبحوه بكرة واصيلا,joy
سورة ص,38,57,هَٰذَا فَلۡيَذُوقُوهُ حَمِيمٞ وَغَسَّاقٞ,هٰذا فليذوقوه حميم وغساق,anger
سورة الزمر,39,27,وَلَقَدۡ ضَرَبۡنَا لِلنَّاسِ فِي هَٰذَا ٱلۡقُرۡءَانِ مِن كُلِّ مَثَلٖ لَّعَلَّهُمۡ يَتَذَكَّرُونَ,ولقد ضربنا للناس في هٰذا القرءان من كل مثل لعلهم يتذكرون,sadness
سورة النساء,4,174,يَٰٓأَيُّهَا ٱلنَّاسُ قَدۡ جَآءَكُم بُرۡهَٰنٞ مِّن رَّبِّكُمۡ وَأَنزَلۡنَآ إِلَيۡكُمۡ نُورٗا مُّبِينٗا,يٰايها الناس قد جاءكم برهٰن من ربكم وانزلنا اليكم نورا مبينا,joy
سورة يس,36,65,ٱلۡيَوۡمَ نَخۡتِمُ عَلَىٰٓ أَفۡوَٰهِهِمۡ وَتُكَلِّمُنَآ أَيۡدِيهِمۡ وَتَشۡهَدُ أَرۡجُلُهُم بِمَا كَانُواْ يَكۡسِبُونَ,اليوم نختم علىٰ افوٰههم وتكلمنا ايديهم وتشهد ارجلهم بما كانوا يكسبون,fear
سورة الدخان,44,41,يَوۡمَ لَا يُغۡنِي مَوۡلًى عَن مَّوۡلٗى شَيۡـٔٗا وَلَا هُمۡ يُنصَرُونَ,يوم لا يغني مولى عن مولى شيا ولا هم ينصرون,fear
سورة النمل,27,52,فَتِلۡكَ بُيُوتُهُمۡ خَاوِيَةَۢ بِمَا ظَلَمُوٓاْۚ إِنَّ فِي ذَٰلِكَ لَأٓيَةٗ لِّقَوۡمٖ يَعۡلَمُونَ,فتلك بيوتهم خاوية بما ظلموا ان في ذٰلك لاية لقوم يعلمون,sadness
سورة البلد,90,20,عَلَيۡهِمۡ نَارٞ مُّؤۡصَدَةُۢ,عليهم نار مؤصدة,fear
سورة النجم,53,29,فَأَعۡرِضۡ عَن مَّن تَوَلَّىٰ عَن ذِكۡرِنَا وَلَمۡ يُرِدۡ إِلَّا ٱلۡحَيَوٰةَ ٱلدُّنۡيَا,فاعرض عن من تولىٰ عن ذكرنا ولم يرد الا الحيوٰة الدنيا,anger
سورة النازعات,79,12,قَالُواْ تِلۡكَ إِذٗا كَرَّةٌ خَاسِرَةٞ,قالوا تلك اذا كرة خاسرة,sadness
سورة النمل,27,38,قَالَ يَٰٓأَيُّهَا ٱلۡمَلَؤُاْ أَيُّكُمۡ يَأۡتِينِي بِعَرۡشِهَا قَبۡلَ أَن يَأۡتُونِي مُسۡلِمِينَ,قال يٰايها الملؤا ايكم ياتيني بعرشها قبل ان ياتوني مسلمين,joy
سورة الانفال,8,13,ذَٰلِكَ بِأَنَّهُمۡ شَآقُّواْ ٱللَّهَ وَرَسُولَهُۥۚ وَمَن يُشَاقِقِ ٱللَّهَ وَرَسُولَهُۥ فَإِنَّ ٱللَّهَ شَدِيدُ ٱلۡعِقَابِ,ذٰلك بانهم شاقوا الله ورسوله ومن يشاقق الله ورسوله فان الله شديد العقاب,anger
سورة الجن,72,24,حَتَّىٰٓ إِذَا رَأَوۡاْ مَا يُوعَدُونَ فَسَيَعۡلَمُونَ مَنۡ أَضۡعَفُ نَاصِرٗا وَأَقَلُّ عَدَدٗا,حتىٰ اذا راوا ما يوعدون فسيعلمون من اضعف ناصرا واقل عددا,fear
سورة طه,20,56,وَلَقَدۡ أَرَيۡنَٰهُ ءَايَٰتِنَا كُلَّهَا فَكَذَّبَ وَأَبَىٰ,ولقد ارينٰه ءايٰتنا كلها فكذب وابىٰ,anger
سورة الواقعة,56,89,فَرَوۡحٞ وَرَيۡحَانٞ وَجَنَّتُ نَعِيمٖ,فروح وريحان وجنت نعيم,joy
سورة ص,38,2,بَلِ ٱلَّذِينَ كَفَرُواْ فِي عِزَّةٖ وَشِقَاقٖ,بل الذين كفروا في عزة وشقاق,anger
سورة الكهف,18,104,ٱلَّذِينَ ضَلَّ سَعۡيُهُمۡ فِي ٱلۡحَيَوٰةِ ٱلدُّنۡيَا وَهُمۡ يَحۡسَبُونَ أَنَّهُمۡ يُحۡسِنُونَ صُنۡعًا,الذين ضل سعيهم في الحيوٰة الدنيا وهم يحسبون انهم يحسنون صنعا,sadness
سورة الطور,52,1,وَٱلطُّورِ,والطور,fear
سورة المدثر,74,34,وَٱلصُّبۡحِ إِذَآ أَسۡفَرَ,والصبح اذا اسفر,joy
سورة الشعراء,26,135,إِنِّيٓ أَخَافُ عَلَيۡكُمۡ عَذَابَ يَوۡمٍ عَظِيمٖ,اني اخاف عليكم عذاب يوم عظيم,fear
سورة النجم,53,2,مَا ضَلَّ صَاحِبُكُمۡ وَمَا غَوَىٰ,ما ضل صاحبكم وما غوىٰ,joy
سورة قريش,106,3,فَلۡيَعۡبُدُواْ رَبَّ هَٰذَا ٱلۡبَيۡتِ,فليعبدوا رب هٰذا البيت,joy
سورة محمد,47,24,أَفَلَا يَتَدَبَّرُونَ ٱلۡقُرۡءَانَ أَمۡ عَلَىٰ قُلُوبٍ أَقۡفَالُهَآ,افلا يتدبرون القرءان ام علىٰ قلوب اقفالها,fear
سورة التغابن,64,3,خَلَقَ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضَ بِٱلۡحَقِّ وَصَوَّرَكُمۡ فَأَحۡسَنَ صُوَرَكُمۡۖ وَإِلَيۡهِ ٱلۡمَصِيرُ,خلق السمٰوٰت والارض بالحق وصوركم فاحسن صوركم واليه المصير,joy
سورة الانبياء,21,18,بَلۡ نَقۡذِفُ بِٱلۡحَقِّ عَلَى ٱلۡبَٰطِلِ فَيَدۡمَغُهُۥ فَإِذَا هُوَ زَاهِقٞۚ وَلَكُمُ ٱلۡوَيۡلُ مِمَّا تَصِفُونَ,بل نقذف بالحق على البٰطل فيدمغه فاذا هو زاهق ولكم الويل مما تصفون,anger
سورة الزلزلة,99,1,إِذَا زُلۡزِلَتِ ٱلۡأَرۡضُ زِلۡزَالَهَا,اذا زلزلت الارض زلزالها,fear
سورة الزخرف,43,34,وَلِبُيُوتِهِمۡ أَبۡوَٰبٗا وَسُرُرًا عَلَيۡهَا يَتَّكِـُٔونَ,ولبيوتهم ابوٰبا وسررا عليها يتكون,fear
سورة الفجر,89,26,وَلَا يُوثِقُ وَثَاقَهُۥٓ أَحَدٞ,ولا يوثق وثاقه احد,fear
سورة مريم,19,8,قَالَ رَبِّ أَنَّىٰ يَكُونُ لِي غُلَٰمٞ وَكَانَتِ ٱمۡرَأَتِي عَاقِرٗا وَقَدۡ بَلَغۡتُ مِنَ ٱلۡكِبَرِ عِتِيّٗا,قال رب انىٰ يكون لي غلٰم وكانت امراتي عاقرا وقد بلغت من الكبر عتيا,joy
سورة الحجر,15,94,فَٱصۡدَعۡ بِمَا تُؤۡمَرُ وَأَعۡرِضۡ عَنِ ٱلۡمُشۡرِكِينَ,فاصدع بما تؤمر واعرض عن المشركين,anger
سورة المؤمنون,23,37,إِنۡ هِيَ إِلَّا حَيَاتُنَا ٱلدُّنۡيَا نَمُوتُ وَنَحۡيَا وَمَا نَحۡنُ بِمَبۡعُوثِينَ,ان هي الا حياتنا الدنيا نموت ونحيا وما نحن بمبعوثين,anger
سورة الاسراء,17,25,رَّبُّكُمۡ أَعۡلَمُ بِمَا فِي نُفُوسِكُمۡۚ إِن تَكُونُواْ صَٰلِحِينَ فَإِنَّهُۥ كَانَ لِلۡأَوَّٰبِينَ غَفُورٗا,ربكم اعلم بما في نفوسكم ان تكونوا صٰلحين فانه كان للاوٰبين غفورا,joy
سورة التوبة,9,63,أَلَمۡ يَعۡلَمُوٓاْ أَنَّهُۥ مَن يُحَادِدِ ٱللَّهَ وَرَسُولَهُۥ فَأَنَّ لَهُۥ نَارَ جَهَنَّمَ خَٰلِدٗا فِيهَاۚ ذَٰلِكَ ٱلۡخِزۡيُ ٱلۡعَظِيمُ,الم يعلموا انه من يحادد الله ورسوله فان له نار جهنم خٰلدا فيها ذٰلك الخزي العظيم,anger
سورة ال عمران,3,43,يَٰمَرۡيَمُ ٱقۡنُتِي لِرَبِّكِ وَٱسۡجُدِي وَٱرۡكَعِي مَعَ ٱلرَّٰكِعِينَ,يٰمريم اقنتي لربك واسجدي واركعي مع الرٰكعين,joy
سورة غافر,40,68,هُوَ ٱلَّذِي يُحۡيِۦ وَيُمِيتُۖ فَإِذَا قَضَىٰٓ أَمۡرٗا فَإِنَّمَا يَقُولُ لَهُۥ كُن فَيَكُونُ,هو الذي يحي ويميت فاذا قضىٰ امرا فانما يقول له كن فيكون,joy
سورة الكهف,18,8,وَإِنَّا لَجَٰعِلُونَ مَا عَلَيۡهَا صَعِيدٗا جُرُزًا,وانا لجٰعلون ما عليها صعيدا جرزا,sadness
سورة الحاقة,69,35,فَلَيۡسَ لَهُ ٱلۡيَوۡمَ هَٰهُنَا حَمِيمٞ,فليس له اليوم هٰهنا حميم,fear
سورة المسد,111,4,وَٱمۡرَأَتُهُۥ حَمَّالَةَ ٱلۡحَطَبِ,وامراته حمالة الحطب,anger
سورة التغابن,64,13,ٱللَّهُ لَآ إِلَٰهَ إِلَّا هُوَۚ وَعَلَى ٱللَّهِ فَلۡيَتَوَكَّلِ ٱلۡمُؤۡمِنُونَ,الله لا الٰه الا هو وعلى الله فليتوكل المؤمنون,joy
سورة فصلت,41,20,حَتَّىٰٓ إِذَا مَا جَآءُوهَا شَهِدَ عَلَيۡهِمۡ سَمۡعُهُمۡ وَأَبۡصَٰرُهُمۡ وَجُلُودُهُم بِمَا كَانُواْ يَعۡمَلُونَ,حتىٰ اذا ما جاءوها شهد عليهم سمعهم وابصٰرهم وجلودهم بما كانوا يعملون,anger
سورة الفرقان,25,56,وَمَآ أَرۡسَلۡنَٰكَ إِلَّا مُبَشِّرٗا وَنَذِيرٗا,وما ارسلنٰك الا مبشرا ونذيرا,fear
سورة الانفال,8,73,وَٱلَّذِينَ كَفَرُواْ بَعۡضُهُمۡ أَوۡلِيَآءُ بَعۡضٍۚ إِلَّا تَفۡعَلُوهُ تَكُن فِتۡنَةٞ فِي ٱلۡأَرۡضِ وَفَسَادٞ كَبِيرٞ,والذين كفروا بعضهم اولياء بعض الا تفعلوه تكن فتنة في الارض وفساد كبير,anger
سورة لقمان,31,22,۞وَمَن يُسۡلِمۡ وَجۡهَهُۥٓ إِلَى ٱللَّهِ وَهُوَ مُحۡسِنٞ فَقَدِ ٱسۡتَمۡسَكَ بِٱلۡعُرۡوَةِ ٱلۡوُثۡقَىٰۗ وَإِلَى ٱللَّهِ عَٰقِبَةُ ٱلۡأُمُورِ,ومن يسلم وجهه الى الله وهو محسن فقد استمسك بالعروة الوثقىٰ والى الله عٰقبة الامور,sadness
سورة الاحزاب,33,65,خَٰلِدِينَ فِيهَآ أَبَدٗاۖ لَّا يَجِدُونَ وَلِيّٗا وَلَا نَصِيرٗا,خٰلدين فيها ابدا لا يجدون وليا ولا نصيرا,sadness
سورة النازعات,79,32,وَٱلۡجِبَالَ أَرۡسَىٰهَا,والجبال ارسىٰها,joy
سورة الشرح,94,6,إِنَّ مَعَ ٱلۡعُسۡرِ يُسۡرٗا,ان مع العسر يسرا,joy
سورة الفتح,48,16,قُل لِّلۡمُخَلَّفِينَ مِنَ ٱلۡأَعۡرَابِ سَتُدۡعَوۡنَ إِلَىٰ قَوۡمٍ أُوْلِي بَأۡسٖ شَدِيدٖ تُقَٰتِلُونَهُمۡ أَوۡ يُسۡلِمُونَۖ فَإِن تُطِيعُواْ يُؤۡتِكُمُ ٱللَّهُ أَجۡرًا حَسَنٗاۖ وَإِن تَتَوَلَّوۡاْ كَمَا تَوَلَّيۡتُم مِّن قَبۡلُ يُعَذِّبۡكُمۡ عَذَابًا أَلِيمٗا,قل للمخلفين من الاعراب ستدعون الىٰ قوم اولي باس شديد تقٰتلونهم او يسلمون فان تطيعوا يؤتكم الله اجرا حسنا وان تتولوا كما توليتم من قبل يعذبكم عذابا اليما,anger
سورة الصافات,37,107,وَفَدَيۡنَٰهُ بِذِبۡحٍ عَظِيمٖ,وفدينٰه بذبح عظيم,sadness
سورة الاسراء,17,50,۞قُلۡ كُونُواْ حِجَارَةً أَوۡ حَدِيدًا,قل كونوا حجارة او حديدا,anger
سورة الانبياء,21,47,وَنَضَعُ ٱلۡمَوَٰزِينَ ٱلۡقِسۡطَ لِيَوۡمِ ٱلۡقِيَٰمَةِ فَلَا تُظۡلَمُ نَفۡسٞ شَيۡـٔٗاۖ وَإِن كَانَ مِثۡقَالَ حَبَّةٖ مِّنۡ خَرۡدَلٍ أَتَيۡنَا بِهَاۗ وَكَفَىٰ بِنَا حَٰسِبِينَ,ونضع الموٰزين القسط ليوم القيٰمة فلا تظلم نفس شيا وان كان مثقال حبة من خردل اتينا بها وكفىٰ بنا حٰسبين,joy
سورة البقرة,2,161,إِنَّ ٱلَّذِينَ كَفَرُواْ وَمَاتُواْ وَهُمۡ كُفَّارٌ أُوْلَٰٓئِكَ عَلَيۡهِمۡ لَعۡنَةُ ٱللَّهِ وَٱلۡمَلَٰٓئِكَةِ وَٱلنَّاسِ أَجۡمَعِينَ,ان الذين كفروا وماتوا وهم كفار اولٰئك عليهم لعنة الله والملٰئكة والناس اجمعين,anger
سورة المائدة,5,79,كَانُواْ لَا يَتَنَاهَوۡنَ عَن مُّنكَرٖ فَعَلُوهُۚ لَبِئۡسَ مَا كَانُواْ يَفۡعَلُونَ,كانوا لا يتناهون عن منكر فعلوه لبئس ما كانوا يفعلون,anger
سورة الحديد,57,22,مَآ أَصَابَ مِن مُّصِيبَةٖ فِي ٱلۡأَرۡضِ وَلَا فِيٓ أَنفُسِكُمۡ إِلَّا فِي كِتَٰبٖ مِّن قَبۡلِ أَن نَّبۡرَأَهَآۚ إِنَّ ذَٰلِكَ عَلَى ٱللَّهِ يَسِيرٞ,ما اصاب من مصيبة في الارض ولا في انفسكم الا في كتٰب من قبل ان نبراها ان ذٰلك على الله يسير,sadness
سورة الروم,30,14,وَيَوۡمَ تَقُومُ ٱلسَّاعَةُ يَوۡمَئِذٖ يَتَفَرَّقُونَ,ويوم تقوم الساعة يومئذ يتفرقون,fear
سورة النبا,78,27,إِنَّهُمۡ كَانُواْ لَا يَرۡجُونَ حِسَابٗا,انهم كانوا لا يرجون حسابا,anger
سورة الحجر,15,87,وَلَقَدۡ ءَاتَيۡنَٰكَ سَبۡعٗا مِّنَ ٱلۡمَثَانِي وَٱلۡقُرۡءَانَ ٱلۡعَظِيمَ,ولقد ءاتينٰك سبعا من المثاني والقرءان العظيم,joy
سورة النساء,4,80,مَّن يُطِعِ ٱلرَّسُولَ فَقَدۡ أَطَاعَ ٱللَّهَۖ وَمَن تَوَلَّىٰ فَمَآ أَرۡسَلۡنَٰكَ عَلَيۡهِمۡ حَفِيظٗا,من يطع الرسول فقد اطاع الله ومن تولىٰ فما ارسلنٰك عليهم حفيظا,fear
سورة الصافات,37,153,أَصۡطَفَى ٱلۡبَنَاتِ عَلَى ٱلۡبَنِينَ,اصطفى البنات على البنين,sadness
سورة الزخرف,43,7,وَمَا يَأۡتِيهِم مِّن نَّبِيٍّ إِلَّا كَانُواْ بِهِۦ يَسۡتَهۡزِءُونَ,وما ياتيهم من نبي الا كانوا به يستهزءون,anger
سورة الناس,114,5,ٱلَّذِي يُوَسۡوِسُ فِي صُدُورِ ٱلنَّاسِ,الذي يوسوس في صدور الناس,anger
سورة الدخان,44,23,فَأَسۡرِ بِعِبَادِي لَيۡلًا إِنَّكُم مُّتَّبَعُونَ,فاسر بعبادي ليلا انكم متبعون,fear
سورة المطففين,83,5,لِيَوۡمٍ عَظِيمٖ,ليوم عظيم,fear
سورة المزمل,73,7,إِنَّ لَكَ فِي ٱلنَّهَارِ سَبۡحٗا طَوِيلٗا,ان لك في النهار سبحا طويلا,joy
سورة النجم,53,35,أَعِندَهُۥ عِلۡمُ ٱلۡغَيۡبِ فَهُوَ يَرَىٰٓ,اعنده علم الغيب فهو يرىٰ,anger
سورة القصص,28,84,مَن جَآءَ بِٱلۡحَسَنَةِ فَلَهُۥ خَيۡرٞ مِّنۡهَاۖ وَمَن جَآءَ بِٱلسَّيِّئَةِ فَلَا يُجۡزَى ٱلَّذِينَ عَمِلُواْ ٱلسَّيِّـَٔاتِ إِلَّا مَا كَانُواْ يَعۡمَلُونَ,من جاء بالحسنة فله خير منها ومن جاء بالسيئة فلا يجزى الذين عملوا السيات الا ما كانوا يعملون,sadness
سورة هود,11,30,وَيَٰقَوۡمِ مَن يَنصُرُنِي مِنَ ٱللَّهِ إِن طَرَدتُّهُمۡۚ أَفَلَا تَذَكَّرُونَ,ويٰقوم من ينصرني من الله ان طردتهم افلا تذكرون,anger
سورة الزمر,39,10,قُلۡ يَٰعِبَادِ ٱلَّذِينَ ءَامَنُواْ ٱتَّقُواْ رَبَّكُمۡۚ لِلَّذِينَ أَحۡسَنُواْ فِي هَٰذِهِ ٱلدُّنۡيَا حَسَنَةٞۗ وَأَرۡضُ ٱللَّهِ وَٰسِعَةٌۗ إِنَّمَا يُوَفَّى ٱلصَّٰبِرُونَ أَجۡرَهُم بِغَيۡرِ حِسَابٖ,قل يٰعباد الذين ءامنوا اتقوا ربكم للذين احسنوا في هٰذه الدنيا حسنة وارض الله وٰسعة انما يوفى الصٰبرون اجرهم بغير حساب,joy
سورة يونس,10,32,فَذَٰلِكُمُ ٱللَّهُ رَبُّكُمُ ٱلۡحَقُّۖ فَمَاذَا بَعۡدَ ٱلۡحَقِّ إِلَّا ٱلضَّلَٰلُۖ فَأَنَّىٰ تُصۡرَفُونَ,فذٰلكم الله ربكم الحق فماذا بعد الحق الا الضلٰل فانىٰ تصرفون,anger
سورة الاحقاف,46,9,قُلۡ مَا كُنتُ بِدۡعٗا مِّنَ ٱلرُّسُلِ وَمَآ أَدۡرِي مَا يُفۡعَلُ بِي وَلَا بِكُمۡۖ إِنۡ أَتَّبِعُ إِلَّا مَا يُوحَىٰٓ إِلَيَّ وَمَآ أَنَا۠ إِلَّا نَذِيرٞ مُّبِينٞ,قل ما كنت بدعا من الرسل وما ادري ما يفعل بي ولا بكم ان اتبع الا ما يوحىٰ الي وما انا الا نذير مبين,sadness
سورة ق,50,11,رِّزۡقٗا لِّلۡعِبَادِۖ وَأَحۡيَيۡنَا بِهِۦ بَلۡدَةٗ مَّيۡتٗاۚ كَذَٰلِكَ ٱلۡخُرُوجُ,رزقا للعباد واحيينا به بلدة ميتا كذٰلك الخروج,joy
سورة الحجر,15,74,فَجَعَلۡنَا عَٰلِيَهَا سَافِلَهَا وَأَمۡطَرۡنَا عَلَيۡهِمۡ حِجَارَةٗ مِّن سِجِّيلٍ,فجعلنا عٰليها سافلها وامطرنا عليهم حجارة من سجيل,fear
سورة عبس,80,40,وَوُجُوهٞ يَوۡمَئِذٍ عَلَيۡهَا غَبَرَةٞ,ووجوه يومئذ عليها غبرة,fear
سورة الانشقاق,84,15,بَلَىٰٓۚ إِنَّ رَبَّهُۥ كَانَ بِهِۦ بَصِيرٗا,بلىٰ ان ربه كان به بصيرا,fear
سورة غافر,40,24,إِلَىٰ فِرۡعَوۡنَ وَهَٰمَٰنَ وَقَٰرُونَ فَقَالُواْ سَٰحِرٞ كَذَّابٞ,الىٰ فرعون وهٰمٰن وقٰرون فقالوا سٰحر كذاب,anger
سورة الاعراف,7,41,لَهُم مِّن جَهَنَّمَ مِهَادٞ وَمِن فَوۡقِهِمۡ غَوَاشٖۚ وَكَذَٰلِكَ نَجۡزِي ٱلظَّٰلِمِينَ,لهم من جهنم مهاد ومن فوقهم غواش وكذٰلك نجزي الظٰلمين,fear
سورة التكوير,81,14,عَلِمَتۡ نَفۡسٞ مَّآ أَحۡضَرَتۡ,علمت نفس ما احضرت,sadness
سورة العنكبوت,29,69,وَٱلَّذِينَ جَٰهَدُواْ فِينَا لَنَهۡدِيَنَّهُمۡ سُبُلَنَاۚ وَإِنَّ ٱللَّهَ لَمَعَ ٱلۡمُحۡسِنِينَ,والذين جٰهدوا فينا لنهدينهم سبلنا وان الله لمع المحسنين,joy
سورة الحديد,57,29,لِّئَلَّا يَعۡلَمَ أَهۡلُ ٱلۡكِتَٰبِ أَلَّا يَقۡدِرُونَ عَلَىٰ شَيۡءٖ مِّن فَضۡلِ ٱللَّهِ وَأَنَّ ٱلۡفَضۡلَ بِيَدِ ٱللَّهِ يُؤۡتِيهِ مَن يَشَآءُۚ وَٱللَّهُ ذُو ٱلۡفَضۡلِ ٱلۡعَظِيمِ,لئلا يعلم اهل الكتٰب الا يقدرون علىٰ شيء من فضل الله وان الفضل بيد الله يؤتيه من يشاء والله ذو الفضل العظيم,sadness
سورة فاطر,35,3,يَٰٓأَيُّهَا ٱلنَّاسُ ٱذۡكُرُواْ نِعۡمَتَ ٱللَّهِ عَلَيۡكُمۡۚ هَلۡ مِنۡ خَٰلِقٍ غَيۡرُ ٱللَّهِ يَرۡزُقُكُم مِّنَ ٱلسَّمَآءِ وَٱلۡأَرۡضِۚ لَآ إِلَٰهَ إِلَّا هُوَۖ فَأَنَّىٰ تُؤۡفَكُونَ,يٰايها الناس اذكروا نعمت الله عليكم هل من خٰلق غير الله يرزقكم من السماء والارض لا الٰه الا هو فانىٰ تؤفكون,joy
سورة الحجر,15,73,فَأَخَذَتۡهُمُ ٱلصَّيۡحَةُ مُشۡرِقِينَ,فاخذتهم الصيحة مشرقين,anger
سورة ابراهيم,14,52,هَٰذَا بَلَٰغٞ لِّلنَّاسِ وَلِيُنذَرُواْ بِهِۦ وَلِيَعۡلَمُوٓاْ أَنَّمَا هُوَ إِلَٰهٞ وَٰحِدٞ وَلِيَذَّكَّرَ أُوْلُواْ ٱلۡأَلۡبَٰبِ,هٰذا بلٰغ للناس ولينذروا به وليعلموا انما هو الٰه وٰحد وليذكر اولوا الالبٰب,joy
سورة غافر,40,69,أَلَمۡ تَرَ إِلَى ٱلَّذِينَ يُجَٰدِلُونَ فِيٓ ءَايَٰتِ ٱللَّهِ أَنَّىٰ يُصۡرَفُونَ,الم تر الى الذين يجٰدلون في ءايٰت الله انىٰ يصرفون,sadness
سورة الروم,30,11,ٱللَّهُ يَبۡدَؤُاْ ٱلۡخَلۡقَ ثُمَّ يُعِيدُهُۥ ثُمَّ إِلَيۡهِ تُرۡجَعُونَ,الله يبدؤا الخلق ثم يعيده ثم اليه ترجعون,fear
سورة القلم,68,38,إِنَّ لَكُمۡ فِيهِ لَمَا تَخَيَّرُونَ,ان لكم فيه لما تخيرون,joy
سورة الاسراء,17,48,ٱنظُرۡ كَيۡفَ ضَرَبُواْ لَكَ ٱلۡأَمۡثَالَ فَضَلُّواْ فَلَا يَسۡتَطِيعُونَ سَبِيلٗا,انظر كيف ضربوا لك الامثال فضلوا فلا يستطيعون سبيلا,anger
سورة الكهف,18,43,وَلَمۡ تَكُن لَّهُۥ فِئَةٞ يَنصُرُونَهُۥ مِن دُونِ ٱللَّهِ وَمَا كَانَ مُنتَصِرًا,ولم تكن له فئة ينصرونه من دون الله وما كان منتصرا,sadness
سورة الحشر,59,23,هُوَ ٱللَّهُ ٱلَّذِي لَآ إِلَٰهَ إِلَّا هُوَ ٱلۡمَلِكُ ٱلۡقُدُّوسُ ٱلسَّلَٰمُ ٱلۡمُؤۡمِنُ ٱلۡمُهَيۡمِنُ ٱلۡعَزِيزُ ٱلۡجَبَّارُ ٱلۡمُتَكَبِّرُۚ سُبۡحَٰنَ ٱللَّهِ عَمَّا يُشۡرِكُونَ,هو الله الذي لا الٰه الا هو الملك القدوس السلٰم المؤمن المهيمن العزيز الجبار المتكبر سبحٰن الله عما يشركون,fear
سورة القلم,68,19,فَطَافَ عَلَيۡهَا طَآئِفٞ مِّن رَّبِّكَ وَهُمۡ نَآئِمُونَ,فطاف عليها طائف من ربك وهم نائمون,fear
سورة سبا,34,20,وَلَقَدۡ صَدَّقَ عَلَيۡهِمۡ إِبۡلِيسُ ظَنَّهُۥ فَٱتَّبَعُوهُ إِلَّا فَرِيقٗا مِّنَ ٱلۡمُؤۡمِنِينَ,ولقد صدق عليهم ابليس ظنه فاتبعوه الا فريقا من المؤمنين,sadness
سورة الرحمٰن,55,78,تَبَٰرَكَ ٱسۡمُ رَبِّكَ ذِي ٱلۡجَلَٰلِ وَٱلۡإِكۡرَامِ,تبٰرك اسم ربك ذي الجلٰل والاكرام,joy
سورة الحشر,59,3,وَلَوۡلَآ أَن كَتَبَ ٱللَّهُ عَلَيۡهِمُ ٱلۡجَلَآءَ لَعَذَّبَهُمۡ فِي ٱلدُّنۡيَاۖ وَلَهُمۡ فِي ٱلۡأٓخِرَةِ عَذَابُ ٱلنَّارِ,ولولا ان كتب الله عليهم الجلاء لعذبهم في الدنيا ولهم في الاخرة عذاب النار,fear
سورة النساء,4,122,وَٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ سَنُدۡخِلُهُمۡ جَنَّٰتٖ تَجۡرِي مِن تَحۡتِهَا ٱلۡأَنۡهَٰرُ خَٰلِدِينَ فِيهَآ أَبَدٗاۖ وَعۡدَ ٱللَّهِ حَقّٗاۚ وَمَنۡ أَصۡدَقُ مِنَ ٱللَّهِ قِيلٗا,والذين ءامنوا وعملوا الصٰلحٰت سندخلهم جنٰت تجري من تحتها الانهٰر خٰلدين فيها ابدا وعد الله حقا ومن اصدق من الله قيلا,joy
سورة الصافات,37,87,فَمَا ظَنُّكُم بِرَبِّ ٱلۡعَٰلَمِينَ,فما ظنكم برب العٰلمين,joy
سورة الدخان,44,21,وَإِن لَّمۡ تُؤۡمِنُواْ لِي فَٱعۡتَزِلُونِ,وان لم تؤمنوا لي فاعتزلون,sadness
سورة القيامة,75,5,بَلۡ يُرِيدُ ٱلۡإِنسَٰنُ لِيَفۡجُرَ أَمَامَهُۥ,بل يريد الانسٰن ليفجر امامه,fear
سورة القصص,28,16,قَالَ رَبِّ إِنِّي ظَلَمۡتُ نَفۡسِي فَٱغۡفِرۡ لِي فَغَفَرَ لَهُۥٓۚ إِنَّهُۥ هُوَ ٱلۡغَفُورُ ٱلرَّحِيمُ,قال رب اني ظلمت نفسي فاغفر لي فغفر له انه هو الغفور الرحيم,fear
سورة الصافات,37,112,وَبَشَّرۡنَٰهُ بِإِسۡحَٰقَ نَبِيّٗا مِّنَ ٱلصَّٰلِحِينَ,وبشرنٰه باسحٰق نبيا من الصٰلحين,joy
سورة القصص,28,11,وَقَالَتۡ لِأُخۡتِهِۦ قُصِّيهِۖ فَبَصُرَتۡ بِهِۦ عَن جُنُبٖ وَهُمۡ لَا يَشۡعُرُونَ,وقالت لاخته قصيه فبصرت به عن جنب وهم لا يشعرون,sadness
